collection,lesson,lesson_url
all-about-vietnamese-culture-and-society,all-about-15-top-5-vietnamese-phrases-from-the-hosts,https://mdn.illops.net/vietnamesepod101/ALL_L15_111813_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-13-top-5-phrases-your-teacher-will-never-teach-you,https://mdn.illops.net/vietnamesepod101/ALL_L13_110413_vpod101.mp3
learn-with-pictures,get-your-vegetables,-1
daily-conversations-in-vietnamese-beginner,beginner-24-how-much-meat-do-you-want-at-the-vietnamese-market,https://mdn.illops.net/vietnamesepod101/B_S1L24_121415_vpod101.mp3
culture-class-holidays-in-vietnam,new-years-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L1_010515_vpod101.mp3
culture-class-holidays-in-vietnam,hue-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L14_040615_vpod101.mp3
learn-with-pictures,facial-features,-1
learn-with-pictures,computers,-1
all-about-vietnamese-culture-and-society,all-about-14-top-5-vietnamese-classroom-phrases,https://mdn.illops.net/vietnamesepod101/ALL_L14_111113_vpod101.mp3
learn-with-pictures,marine-animals,-1
learn-with-pictures,geography,-1
learn-with-pictures,farm-animals,-1
learn-with-pictures,numbers,-1
learn-with-pictures,colors,-1
learn-with-pictures,at-home,-1
learn-with-pictures,sports,-1
learn-with-pictures,drinks,-1
learn-with-pictures,school-subjects,-1
learn-with-pictures,in-a-room,-1
learn-with-pictures,jobs,-1
learn-with-pictures,travel,-1
learn-with-pictures,at-school,-1
learn-with-pictures,in-the-bookstore,-1
learn-with-pictures,weather-forecast-says,-1
learn-with-pictures,all-parts-of-the-body,-1
learn-with-pictures,getting-around-in-vehicles,-1
learn-with-pictures,in-the-city,-1
learn-with-pictures,get-your-fruit,-1
all-about-vietnamese-culture-and-society,all-about-12-top-5-tips-for-avoiding-common-mistakes-in-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L12_102813_vpod101.mp3
learn-with-pictures,in-the-office,-1
all-about-vietnamese-culture-and-society,all-about-11-top-5-most-useful-tools-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L11_102113_vpod101.mp3
learn-with-pictures,clothing,-1
all-about-vietnamese-culture-and-society,all-about-10-top-5-things-you-need-to-know-about-vietnamese-pop-culture,https://mdn.illops.net/vietnamesepod101/ALL_L10_101413_vpod101.mp3
learn-with-pictures,cooking-in-the-kitchen,-1
all-about-vietnamese-culture-and-society,all-about-4-basic-vietnamese-pronunciation,https://mdn.illops.net/vietnamesepod101/ALL_L4_090213_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-2-the-vietnamese-writing-system,https://mdn.illops.net/vietnamesepod101/ALL_L2_081913_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-1-top-5-reasons-to-learn-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L1_081213_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-9-top-5-important-dates-during-the-vietnamese-calendar-year,https://mdn.illops.net/vietnamesepod101/ALL_L9_100713_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-6-can-you-answer-these-5-questions-about-vietnam,https://mdn.illops.net/vietnamesepod101/ALL_L6_091613_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-3-painless-vietnamese-grammar,https://mdn.illops.net/vietnamesepod101/ALL_L3_082613_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-8-top-5-things-you-need-to-know-about-vietnamese-society,https://mdn.illops.net/vietnamesepod101/ALL_L8_093013_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-7-top-5-vietnamese-dishes,https://mdn.illops.net/vietnamesepod101/ALL_L7_092313_vpod101.mp3
all-about-vietnamese-culture-and-society,all-about-5-top-5-mustknow-phrases-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L5_090913_vpod101.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-2-talking-nationality-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L2_071513_vpod101.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-3-useful-phrases-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L3_072213_vpod101.mp3
asking-for-directions-in-vietnam,vietnamese-listening-comprehension-for-beginners-6-getting-vietnamese-directions,-1
asking-for-directions-in-vietnam,survival-phrases-s2-29-directions-in-southern-vietnamese-2,https://mdn.illops.net/vietnamesepod101/S_S2L29_012616_vpod101.mp3
asking-for-directions-in-vietnam,lower-beginner-5-finding-your-way-to-a-famous-vietnamese-tourist-attraction,https://mdn.illops.net/vietnamesepod101/LB_S1L5_080414_vpod101.mp3
asking-for-directions-in-vietnam,survival-phrases-s2-27-asking-where-you-can-find-something-in-southern-vietnamese,https://mdn.illops.net/vietnamesepod101/S_S2L27_011216_vpod101.mp3
asking-for-directions-in-vietnam,survival-phrases-28-looking-around-locally,https://mdn.illops.net/vietnamesepod101/S_S1L28_071612_vpod101.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-5-counting-from-1001000000-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L5_080513_vpod101.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-4-counting-from-1100-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L4_072913_vpod101.mp3
asking-for-directions-in-vietnam,survival-phrases-29-asking-directions-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L29_072312_vpod101.mp3
culture-class-holidays-in-vietnam,buffalo-fighting-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L24_061515_vpod101.mp3
asking-for-directions-in-vietnam,survival-phrases-s2-28-directions-in-southern-vietnamese-1,https://mdn.illops.net/vietnamesepod101/S_S2L28_011916_vpod101.mp3
culture-class-holidays-in-vietnam,phu-day-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L23_060815_vpod101.mp3
asking-for-directions-in-vietnam,survival-phrases-27-where-can-i-find-this-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L27_070912_vpod101.mp3
culture-class-holidays-in-vietnam,ong-fish-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L21_052515_vpod101.mp3
asking-for-directions-in-vietnam,learn-vietnamese-in-three-minutes-12-where-are-you,-1
asking-for-directions-in-vietnam,learn-vietnamese-in-three-minutes-22-asking-where-in-vietnamese,-1
culture-class-holidays-in-vietnam,bai-dinh-pagoda-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L20_051815_vpod101.mp3
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-1-self-introduction-basic-greetings-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L1_070813_vpod101.mp3
culture-class-holidays-in-vietnam,lim-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L18_050415_vpod101.mp3
culture-class-holidays-in-vietnam,elephant-racing-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L25_062215_vpod101.mp3
culture-class-holidays-in-vietnam,huong-pagoda-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L19_051115_vpod101.mp3
culture-class-holidays-in-vietnam,midautumn-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L17_042715_vpod101.mp3
culture-class-holidays-in-vietnam,invalids-and-martyrs-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L12_032315_vpod101.mp3
culture-class-holidays-in-vietnam,international-kites-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L15_041315_vpod101.mp3
culture-class-holidays-in-vietnam,kitchen-guardians-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L16_042015_vpod101.mp3
culture-class-holidays-in-vietnam,valentines-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L8_022315_vpod101.mp3
culture-class-holidays-in-vietnam,international-childrens-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L11_031615_vpod101.mp3
culture-class-holidays-in-vietnam,international-workers-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L9_030215_vpod101.mp3
culture-class-holidays-in-vietnam,vietnam-teachers-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L10_030915_vpod101.mp3
culture-class-holidays-in-vietnam,president-ho-chi-minhs-birthday,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L7_021615_vpod101.mp3
culture-class-holidays-in-vietnam,hung-kings-commemorations,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L5_020215_vpod101.mp3
culture-class-holidays-in-vietnam,liberation-dayreunification-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L6_020915_vpod101.mp3
culture-class-holidays-in-vietnam,giong-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L22_060115_vpod101.mp3
culture-class-holidays-in-vietnam,national-day-in-vietnam,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L4_012615_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-22-a-confusing-situation-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L22_113015_vpod101.mp3
culture-class-holidays-in-vietnam,tet-holiday,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L3_011915_vpod101.mp3
culture-class-holidays-in-vietnam,christmas,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L2_011215_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-21-planning-your-evening-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L21_112315_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-19-meeting-the-family-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L19_110915_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-18-topping-up-your-vietnamese-phone-card,https://mdn.illops.net/vietnamesepod101/B_S1L18_110215_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-17-going-on-a-shopping-spree-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L17_102615_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-15-exchanging-currency-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L15_101215_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-14-how-bad-is-vietnamese-bureaucracy,https://mdn.illops.net/vietnamesepod101/B_S1L14_100515_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-16-is-your-vietnamese-flight-delayed,https://mdn.illops.net/vietnamesepod101/B_S1L16_101915_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-12-is-there-a-problem-with-your-vietnamese-meal,https://mdn.illops.net/vietnamesepod101/B_S1L12_092115_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-13-who-should-pay-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L13_092815_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-10-getting-a-bargain-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L10_090715_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-11-is-this-coupon-valid-in-this-vietnamese-store,https://mdn.illops.net/vietnamesepod101/B_S1L11_091415_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-8-whats-your-favorite-vietnamese-food,https://mdn.illops.net/vietnamesepod101/B_S1L8_082415_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-9-what-should-we-do-tonight-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L9_083115_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-7-going-to-a-language-school-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L7_081715_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-20-talking-about-yourself-in-vietnamese,https://mdn.illops.net/vietnamesepod101/B_S1L20_111615_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-6-making-a-phone-call-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L6_081015_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-3-sending-a-package-from-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L3_072015_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-4-has-the-vietnamese-airline-lost-your-luggage,https://mdn.illops.net/vietnamesepod101/B_S1L4_072715_vpod101.mp3
daily-conversations-in-vietnamese-beginner,beginner-2-can-you-leave-your-luggage-at-this-vietnamese-hotel,https://mdn.illops.net/vietnamesepod101/B_S1L2_071315_vpod101.mp3
learn-with-video,working-with-your-vietnamese-skills,-1
learn-with-video,learn-the-best-way-to-spend-your-day-with-this-vietnamese-video-lesson,-1
learn-with-video,whats-in-your-daily-cycle-of-vietnamese,-1
learn-with-video,its-not-whether-you-win-or-lose-its-how-your-vietnamese-helped,-1
learn-with-video,did-you-know-learning-vietnamese-is-considered-a-sportsometimes,-1
learn-with-video,the-best-way-to-break-the-ice-in-vietnamese,-1
daily-conversations-in-vietnamese-beginner,beginner-1-how-many-seasons-are-there-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L1_070714_vpod101.mp3
learn-with-video,have-your-vietnamese-skills-been-declared-a-natural-disaster,-1
learn-with-video,what-will-your-vietnamese-skills-bring-to-the-table,-1
learn-with-video,would-your-vietnamese-skills-help-you-out-of-this-situation,-1
learn-with-video,all-the-joy-of-learning-vietnamese-begins-right-here,-1
learn-with-video,bear-through-this-vietnamese-video-lesson-and-learn-awesome-forest-animal-vocabulary,-1
learn-with-video,have-a-whale-of-a-time-with-vietnamesepod101com,-1
learn-with-video,birds-of-a-feather-flock-together-at-vietnamesepod101com,-1
daily-conversations-in-vietnamese-beginner,beginner-5-finding-your-way-to-a-famous-vietnamese-tourist-attraction,https://mdn.illops.net/vietnamesepod101/B_S1L5_080315_vpod101.mp3
learn-with-video,its-a-jungle-out-there-let-vietnamesepod101com-show-you-an-easier-way,-1
learn-with-video,oh-what-a-tangled-web-we-weave-when-we-teach-vietnamese-insect-vocabulary,-1
learn-with-video,vietnamesepod101com-is-not-your-ordinary-wolf-in-sheeps-clothing,-1
learn-with-video,if-this-vietnamese-video-lesson-makes-you-feel-froggy-then-jump,-1
learn-with-video,you-dont-have-to-go-down-under-to-experience-the-great-outback-with-vietnamesepod101com,-1
learn-with-video,this-vietnamese-lesson-proves-that-curiosity-doesnt-always-kill-the-cat,-1
learn-with-video,this-vietnamese-lesson-is-not-just-for-the-birds,-1
learn-with-video,you-dont-have-to-go-on-safari-to-pickup-the-vietnamese-vocabulary-to-talk-about-it,-1
learn-with-video,vietnamese-vocabulary-for-insects-doesnt-have-to-bug-you-any-longer,-1
learn-with-video,vietnamesepod101com-will-help-keep-you-afloat-with-vietnamese-marine-life-vocabulary,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-25-elephant-racing-festival,-1
learn-with-video,learning-vietnamese-vocabulary-for-farm-animals-has-never-been-more-fun,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-24-buffalos-fight-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-22-giong-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-21-ong-fish-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-23-phu-day-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-20-bai-dinh-pagoda-festival,-1
learn-with-video,learning-vietnamese-vocabulary-for-common-animals-is-a-walk-in-the-park,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-19-huong-pagoda-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-18-lim-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-17-midautumn-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-15-international-kites-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-16-kitchen-guardians,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-12-remembrance-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-13-new-lesson,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-14-hue-festival,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-11-international-childrens-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-10-vietnam-teachers-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-9-international-workers-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-7-president-ho-chi-minhs-birthday,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-8-valentines-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-6-liberation-dayreunification-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-5-hung-kings-commemoriations,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-4-national-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-3-tet-holiday,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-1-new-years-day,-1
flexing-your-fluency,video-culture-class-vietnamese-holidays-2-christmas-day,-1
flexing-your-fluency,advanced-audio-blog-s2-22-top-10-vietnamese-writers-han-mac-tu,https://mdn.illops.net/vietnamesepod101/A_S2L22_112912_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-23-top-10-vietnamese-writers-nguyen-tuan,https://mdn.illops.net/vietnamesepod101/A_S2L23_120612_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-25-top-10-vietnamese-writers-nam-cao,https://mdn.illops.net/vietnamesepod101/A_S2L25_122012_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-24-top-10-vietnamese-writers-duong-thu-huong,https://mdn.illops.net/vietnamesepod101/A_S2L24_121312_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-21-top-10-vietnamese-writers-xuan-dieu,https://mdn.illops.net/vietnamesepod101/A_S2L21_112212_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-20-top-10-vietnamese-writers-ho-xuan-huong,https://mdn.illops.net/vietnamesepod101/A_S2L20_111512_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-18-top-10-vietnamese-writers-nguyen-binh-khiem,https://mdn.illops.net/vietnamesepod101/A_S2L18_110112_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-19-top-10-vietnamese-writers-vu-trong-phung,https://mdn.illops.net/vietnamesepod101/A_S2L19_110812_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-17-top-10-vietnamese-writers-nguyen-trai,https://mdn.illops.net/vietnamesepod101/A_S2L17_102512_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-16-top-10-vietnamese-writers-nguyen-du,https://mdn.illops.net/vietnamesepod101/A_S2L16_101812_vpod101.mp3
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-15-whats-on-these-shelves-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-14-giving-back-to-the-community-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-13-discussing-survey-results-in-vietnamese,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-11-going-to-the-library-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-12-choosing-travel-insurance-in-vietnam,-1
flexing-your-fluency,advanced-audio-blog-s2-15-top-10-vietnamese-leaders-ngo-quyen,https://mdn.illops.net/vietnamesepod101/A_S2L15_101112_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-14-top-10-vietnamese-leaders-phan-chu-trinh,https://mdn.illops.net/vietnamesepod101/A_S2L14_100412_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-13-top-10-vietnamese-leaders-nguyen-anh,https://mdn.illops.net/vietnamesepod101/A_S2L13_092712_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-12-top-10-vietnamese-leaders-tran-thu-do,https://mdn.illops.net/vietnamesepod101/A_S2L12_092012_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-11-top-10-vietnamese-leaders-phan-boi-chau,https://mdn.illops.net/vietnamesepod101/A_S2L11_091312_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-10-top-10-vietnamese-leaders-ho-chi-minh,https://mdn.illops.net/vietnamesepod101/A_S2L10_090612_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-9-top-10-vietnamese-leaders-ly-cong-uan,https://mdn.illops.net/vietnamesepod101/A_S2L9_083012_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-8-top-10-vietnamese-leaders-le-loi,https://mdn.illops.net/vietnamesepod101/A_S2L8_082312_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-7-top-10-vietnamese-leaders-trieu-thi-trinh,https://mdn.illops.net/vietnamesepod101/A_S2L7_081612_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-6-top-10-vietnamese-leaders-trung-sisters,https://mdn.illops.net/vietnamesepod101/A_S2L6_080912_vpod101.mp3
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-7-setting-up-a-meeting-room-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-9-getting-to-the-airport-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-8-ordering-office-supplies-in-vietnamese,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-10-talking-to-a-supplier-in-vietnamese,-1
flexing-your-fluency,advanced-audio-blog-s2-4-top-10-vietnamese-tourist-destinations-mui-ne,https://mdn.illops.net/vietnamesepod101/A_S2L4_072612_vpod101.mp3
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-6-deciding-on-a-hotel-in-vietnam,-1
flexing-your-fluency,advanced-audio-blog-s2-3-top-10-vietnamese-tourist-destinations-nha-trang,https://mdn.illops.net/vietnamesepod101/A_S2L3_071912_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-5-top-10-vietnamese-tourist-destinations-cat-ba-island,https://mdn.illops.net/vietnamesepod101/A_S2L5_080212_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-2-top-10-vietnamese-tourist-destinations-phong-nhake-bang-national-park,https://mdn.illops.net/vietnamesepod101/A_S2L2_071212_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-24-top-10-vietnamese-tourist-destinations-thien-mu-pagoda,https://mdn.illops.net/vietnamesepod101/A_S1L24_061412_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-s2-1-top-10-vietnamese-tourist-destinations-my-son-sanctuary,https://mdn.illops.net/vietnamesepod101/A_S2L1_070512_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-25-top-10-vietnamese-tourist-destinations-ha-long-bay,https://mdn.illops.net/vietnamesepod101/A_S1L25_062112_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-22-top-10-vietnamese-tourist-destinations-hoi-an,https://mdn.illops.net/vietnamesepod101/A_S1L22_053112_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-21-top-10-vietnamese-tourist-destinations-phu-quoc,https://mdn.illops.net/vietnamesepod101/A_S1L21_052412_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-23-top-10-vietnamese-tourist-destinations-bien-hoa,https://mdn.illops.net/vietnamesepod101/A_S1L23_060712_vpod101.mp3
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-5-preparing-for-a-vietnamese-business-meeting,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-4-reserving-tickets-to-a-play-in-vietnamese,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-2-getting-a-gym-membership-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-3-at-a-printing-company-in-vietnam,-1
flexing-your-fluency,vietnamese-listening-comprehension-for-advanced-learners-1-a-vietnamese-business-presentation,-1
flexing-your-fluency,advanced-audio-blog-10-top-10-vietnamese-regions-and-cities-mekong-delta,https://mdn.illops.net/vietnamesepod101/A_S1L10_030812_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-9-top-10-vietnamese-regions-and-cities-buon-ma-thuot,https://mdn.illops.net/vietnamesepod101/A_S1L9_030112_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-7-top-10-vietnamese-regions-and-cities-dien-bien-phu,https://mdn.illops.net/vietnamesepod101/A_S1L7_021612_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-8-top-10-vietnamese-regions-and-cities-can-tho,https://mdn.illops.net/vietnamesepod101/A_S1L8_022312_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-6-top-10-vietnamese-regions-and-cities-ha-long-bay,https://mdn.illops.net/vietnamesepod101/A_S1L6_020912_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-5-top-10-vietnamese-regions-and-cities-hue,https://mdn.illops.net/vietnamesepod101/A_S1L5_020212_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-2-top-10-vietnamese-regions-and-cities-ho-chi-minh-city,https://mdn.illops.net/vietnamesepod101/A_S1L2_011212_vpod101.mp3
make-comparisons-and-appointments-lower-beginner-vietnamese,lower-beginner-24-a-vietnamese-meal-that-will-cost-you-thousands,https://mdn.illops.net/vietnamesepod101/LB_S1L24_121514_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-3-top-10-vietnamese-regions-and-cities-hai-phong,https://mdn.illops.net/vietnamesepod101/A_S1L3_011912_vpod101.mp3
flexing-your-fluency,advanced-audio-blog-4-top-10-vietnamese-regions-and-cities-danang,https://mdn.illops.net/vietnamesepod101/A_S1L4_012612_vpod101.mp3
